"","cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"1","Low",0.501,405,"City:Midsize","Southeast",29573,0.3171,410,0.7697,27000,4112,14965,1.80420982292015,34686.35395,"Comprehensive"
"2","Low",0.7223,570,"City:Midsize","Southeast",20700,0.4462,565,0.9171,37200,10854,19547,1.90310533585716,52479.68571,"Comprehensive"
"3","Low",NA,NA,"City:Midsize","Southeast",22370,0.25,NA,0.6351,35300,360,11540,3.05892547660312,28202.39311,"Professional"
"4","Low",0.6368,595,"City:Midsize","Southeast",22000,0.4537,565,0.6309,41500,5755,19072,2.17596476510067,53196.69093,"Comprehensive"
"5","Low",0.508,400,"City:Midsize","Southeast",31000,0.2621,405,0.6052,22400,4719,15986,1.40122607281371,28908.80383,"Comprehensive"
"6","Low",0.4353,570,"City:Small","Southeast",22500,0.6579,560,0.7331,39200,25613,21681,1.80803468474701,83886.18593,"Comprehensive"
"7","Low",NA,NA,"Town:Distant","Southeast",NA,NA,NA,0.2188,24100,2338,7485,3.21977287909152,24924.54266,"Specialized"
"8","Low",0.7894,NA,"City:Midsize","Southeast",21169,0.3327,NA,0.9565,32400,4403,15179,2.13452796626919,42462.36008,"Comprehensive"
"9","Low",0.7,570,"City:Small","Southeast",20500,0.6628,550,0.8667,41800,20436,21140,1.97729422894986,93921.53938,"Comprehensive"
"10","High",0.6418,560,"City:Midsize","Southeast",25000,0.6297,560,0.597,38200,1305,39848,0.95864284280265,90304.54319,"Comprehensive"
"11","Low",NA,NA,"Rural:Fringe","Southeast",5250,NA,NA,0.2823,23600,1557,6110,3.86252045826514,21571.95411,"Specialized"
"12","Low",NA,NA,"Town:Distant","Southeast",12875,0.0515,NA,1,19100,719,14622,1.30625085487621,20308.73227,"Specialized"
"13","High",0.5533,NA,"City:Midsize","Southeast",30000,0.1087,NA,0.1341,28400,642,31718,0.895390629926225,23358.70157,"Professional"
"14","Low",NA,NA,"Town:Distant","Southeast",NA,NA,NA,0.4085,26100,2480,9304,2.80524505588994,28548.77656,"Specialized"
"15","Low",NA,NA,"Town:Distant","Southeast",8750,NA,NA,0.2946,26300,4258,9182,2.86429971683729,33951.03441,"Specialized"
"16","High",0.5802,363,"City:Midsize","Southeast",22250,0.3333,382,0.9903,35300,2689,25198,1.40090483371696,38975.88486,"Comprehensive"
"17","Low",NA,NA,"City:Small","Southeast",NA,NA,NA,0.4314,23400,6459,10452,2.23880597014925,17676.4008,"Specialized"
"18","Low",NA,NA,"Rural:Fringe","Southeast",NA,NA,NA,0.5139,23500,4696,7754,3.03069383543977,19015.98595,"Specialized"
"19","Low",NA,NA,"Town:Distant","Southeast",9450,NA,NA,0.4084,27600,5302,10771,2.56243617120045,34144.59087,"Specialized"
"20","Low",NA,NA,"Town:Distant","Southeast",NA,NA,NA,0.4109,21200,1836,14974,1.41578736476559,14421.29879,"Specialized"
"21","High",0.979,NA,"Suburb:Large","Southeast",19623,0.1136,NA,0.25,37900,330,23839,1.58983178824615,25851.09245,"Professional"
"22","High",0.6199,506,"City:Midsize","Southeast",25346.5,0.5189,518,0.4174,33000,1110,29369,1.12363376349212,65431.01401,"Comprehensive"
