"cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"Low",0.501,405.0,"City:Midsize","Southeast",29573.0,0.3171,410.0,0.7697,27000.0,4112.0,14965.0,1.80420982292015,34686.35395,"Comprehensive"
"Low",0.7223,570.0,"City:Midsize","Southeast",20700.0,0.4462,565.0,0.9171,37200.0,10854.0,19547.0,1.90310533585716,52479.68571,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Midsize","Southeast",22370.0,0.25,523.5020210185934,0.6351,35300.0,360.0,11540.0,3.05892547660312,28202.39311,"Professional"
"Low",0.6368,595.0,"City:Midsize","Southeast",22000.0,0.4537,565.0,0.6309,41500.0,5755.0,19072.0,2.17596476510067,53196.69093,"Comprehensive"
"Low",0.508,400.0,"City:Midsize","Southeast",31000.0,0.2621,405.0,0.6052,22400.0,4719.0,15986.0,1.40122607281371,28908.80383,"Comprehensive"
"Low",0.4353,570.0,"City:Small","Southeast",22500.0,0.6579,560.0,0.7331,39200.0,25613.0,21681.0,1.80803468474701,83886.18593,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.2188,24100.0,2338.0,7485.0,3.21977287909152,24924.54266,"Specialized"
"Low",0.7894,531.1777777777778,"City:Midsize","Southeast",21169.0,0.3327,523.5020210185934,0.9565,32400.0,4403.0,15179.0,2.13452796626919,42462.36008,"Comprehensive"
"Low",0.7,570.0,"City:Small","Southeast",20500.0,0.6628,550.0,0.8667,41800.0,20436.0,21140.0,1.97729422894986,93921.53938,"Comprehensive"
"High",0.6418,560.0,"City:Midsize","Southeast",25000.0,0.6297,560.0,0.597,38200.0,1305.0,39848.0,0.95864284280265,90304.54319,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southeast",5250.0,0.4732235186873289,523.5020210185934,0.2823,23600.0,1557.0,6110.0,3.86252045826514,21571.95411,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Southeast",12875.0,0.0515,523.5020210185934,1.0,19100.0,719.0,14622.0,1.30625085487621,20308.73227,"Specialized"
"High",0.5533,531.1777777777778,"City:Midsize","Southeast",30000.0,0.1087,523.5020210185934,0.1341,28400.0,642.0,31718.0,0.895390629926225,23358.70157,"Professional"
