Ranking,Percent Helpful,Author,Total Reviews,Author ID,Helpful Votes
133,0.97,Benson Leung,97,A25GROL6KJV3QG,8882
487,0.98,Snotty reviews,87,A2OI8Z96ZPZKB2,2187
533,0.95,Desert Rat,62,A2D5K8IDZGFFWY,5481
583,0.66,fernanda,98,A1S5HXKSCOS0D4,120
675,0.96,Code Red,88,A3OKAEM5C3OFL,2081
703,0.88,r_kwon,100,A14H9KMAMC590S,1370
966,0.95,Miss Patty,82,AY62GGSKX9YH4,2585
1042,0.98,Chad Bush,70,AUFTATW022N80,16467
1110,0.94,formortals,66,A319ZSLHK97E7C,3975
1229,0.92,Brian,75,A2B26I3DGUSMB0,3613
1242,0.88,Danny Lee,98,A1UFUJ9Z5U53AH,1079
1542,0.93,HFZ,89,A2024QM6DB2LEI,1005
1605,0.96,Samuel,65,ABHVX10MEGARN,1566
1678,0.88,cantslowdown,85,A3F75AOX7FXS9P,2993
1748,0.88,P. Buchanan,97,A363SKUFPFHIAK,1427
1784,0.97,Patrick,73,A3SR9VQUHQF0GA,3362
1792,0.93,B. Anderson,56,A3A97RFX8HCSE3,7205
1795,0.98,Evan M. Cato,88,AH8PMRYFR58TC,732
1806,0.9,Adil Lalani (Adak),71,AP25GFV9TMM6F,85
1813,0.97,M in SC,88,A2DRURXLBMP77K,7772
1825,0.92,FALCON,97,A3TFJE04LTJDLI,2859
1826,0.96,Dawn Elizabeth,75,APE0DJTM4GLRA,2852
1925,0.89,stephen cabot,91,A1HD3HWDFP7YBC,1898
1928,0.96,Amazon Customer,99,A1R3A8F7OSP3ZL,2022
1994,0.94,Lucy,64,A1PQHPE3S51Z18,1734
2079,0.95,Jake Flash,82,A2FE2DBHMLSFCU,1908
2134,0.95,sam,69,A2JCLEDQTNXMPT,5427
2181,0.94,ScottoR,67,AY9MAJ4DN4Z7H,2815
2212,0.93,Chris Upton,69,A1GHPJB2N0D0RL,1561
2245,0.93,Nightshade,95,A29I5F4VUJYXUU,965
2275,0.95,S Mack,59,A28LXU0LM7GYIC,2117
2312,0.92,D. Lazaro,84,A3H0DIOS8X1I3L,1834
2334,0.98,Natural Cooker,64,A1WDB78VWOAUX8,3510
2389,0.92,"Mike Mutzel, MS(c)",78,A2TKX1EU5IT5P2,1033
2433,0.95,NW Dryad,87,A2WJI5RY4H2IQA,706
2439,0.94,ChimChim,69,A5SD8VUB6YKWC,2598
2483,0.98,Andrew,96,A2QKSWU3KA057B,88
2491,0.93,Engr. Jay Mendoza,95,AZYBZEVISD0YX,1968
2513,0.96,Tad Borowski,84,A1LHSZKJ7MLEHV,1341
2523,0.96,AndreaP.,88,A3HHGBT6MFH4G4,4141
2569,0.95,AwesomeSauce,82,A31U2JKLG32UVQ,1911
2573,0.98,CF,75,A2L5I2MB73UJ3L,2837
2584,0.94,Aafke-Art,74,A2UVZI95SPP3OJ,969
2610,0.97,Eric Law,97,A28Q94CXRMP2SY,4662
2612,0.98,Nathan Kull,81,A250ZSZMO4P67S,1802
2640,0.95,Sally B.,85,AW7UMXXJKFSNS,782
2694,0.96,Ko,85,A1A9HOW7IW7PJW,762
2700,0.9,Amazon Customer,60,A16DQF6I1DPSLO,962
2731,0.91,A. Silberman,63,A21TPY9BVC9IKZ,2766
2735,0.94,norse,52,A1C3QC8IYNJLJ0,4378
2761,0.95,veemay,78,AWSLSPNVNIPMA,1100
2778,0.96,Ms. Understood,64,A22OXRNXXRWSGL,1791
2786,0.95,B. Tarbuck,54,A1IYZS46NB2CKS,8567
2811,0.91,Mike,80,A2CECSSD2LHWQO,1161
2819,0.96,GadgetClass,62,A38J352T8TIPMX,1472
2820,0.95,"Happy, Joyous, & Free",78,A2DMMMPQILC1QQ,1151
