Ranking,Percent Helpful,Author,Total Reviews,Author ID,Helpful Votes
1,0.96,Ali Julia,3993,A2D1LPEUCTNT8X,38974
2,0.96,Jackie  Cooper,959,A14ZQ17DIPJ6UB,18050
3,0.95,iiiireader,4212,ALYZJ7W14YS26,13483
4,0.94,J. Chambers,4150,A1E1LEVQ9VQNK,60399
5,0.96,Bob Tobias,2030,A38RMU1Y5TDP9,57495
6,0.94,JJCEO,4844,A1X1CEGHTHMBL1,106880
7,0.95,M. Erb,2229,A2LXX47A0KMJVX,65280
8,0.96,Joanna D.,3669,A1IU7S4HCK1XK0,78231
9,0.92,Dust Storm (aka Haboob),1877,AOE21NROMDWDV,8657
10,0.93,Mike W.,837,AZKRFNQ8EFO4T,18261
11,0.96,Steve Charme,2322,A3NEAETOSXDBOM,21762
12,0.93,Michael Gallagher,1549,A10PEXB6XAQ5XF,55315
13,0.97,NLee the Engineer,810,AOEAD7DPLZE53,67631
14,0.94,Mike Tarrani,6246,A2NYK9KWFMJV4Y,30233
15,0.94,Dr. Oceanfront,2635,A2BYV7S1QP2YIG,19580
16,0.94,Cthulhu,2599,ADLVFFE4VBT8,72038
17,0.92,Tinfoot,4036,A202CZ4PJH83G4,28975
18,0.94,PT Cruiser,1841,A3S3R88HA0HZG3,23330
19,0.95,Claire Jordan,1085,A7EU2BWLLCJY2,16789
20,0.96,Quentin Moore,241,A1HIVLFS0H3QG0,25890
21,0.95,Deb,5753,ACJT8MUC0LRF0,20406
22,0.97,Parka,1271,A16T2C41GZYAJZ,23213
23,0.95,RWM,538,A3UIH7DCQRA21L,30857
24,0.93,Daisy S,2924,ABDR6IJ93HFIO,16876
25,0.93,Andrea Polk,1884,A12DQZKRKTNF5E,23172
26,0.94,_RST,1291,ARBKYIVNYWK3C,23445
27,0.94,Stephanie Sullivan,1996,A31N0XY2UTB25C,7838
28,0.94, FreeSpirit,627,A2W0GY64CJSV5D,29036
29,0.95,Mr Mike,424,A1H4BDHFRBPRV9,6198
30,0.93,PhotoGraphics,882,A3R1WFO4KIUQXZ,15088
31,0.95,Heart Dad,232,A2KWFSBGBMTLOL,14598
32,0.93,Mr Lion,438,A1TUL3FFHYEXBK,7553
33,0.89,K. April Holgate,3107,A1KYJA5YM1479G,6745
34,0.93,Comdet,2691,A25C2M3QF9G7OQ,25411
35,0.97,Chandler,1272,A17V9XL4CWTQ6G,59060
36,0.92,Bassocantor,1659,A21OBYW0N5ENS7,10361
37,0.94,Dre,1237,A3V5F050GVZ56Q,12464
38,0.98,Professor H,3976,A1JZFGZEZVWQPY,6645
39,0.93,Devin Stephens,1773,A2HC94KQKVGIA1,5822
40,0.95,Harold Wolf,1708,AO1Z0TQWCRGL4,22890
41,0.95,Dan Lebryk,3731,A3EXWV8FNSSFL6,15507
42,0.92,Spencer in Seattle,1692,A2O489VAPVIH35,6186
43,0.93,Angela,2632,A1F7YU6O5RU432,15372
44,0.91,K. Harris,3736,A27H9DOUGY9FOS,62197
