Product,Product Stars,Author,Text,Price,Review Stars,Author ID,Date,Title,Verified_Purchase,Helpfulness Total,Helpfulness,Review Ranking
"Hakko CHP-170 Micro Soft Wire Cutter, 1.5mm Stand-off, Flush Cut, 2.5mm Hardened Carbon Steel Construction, 21-Degree Angled Jaw, 8mm Jaw Length, 16 Gauge Maximum Cutting Capacity",4.8,Pri,"I use it to snip the ends off of hobby electronics parts, i.e. resistors and component leads. There's a warning on the handle that says to only cut copper wire, but I've been cutting other stuff with it too... this has caused the blades to pit a little, but it still cuts effortlessly. Definitely make sure you're wearing safety glasses, sometimes pieces of wire will go flying at Mach 1 across the room, I learned this the hard way.",4.37,4.0,A35YEABW3T8OP4,"January 15, 2016",Wear your safety glasses!,Yes,,,71
"IRWIN Tools VISE-GRIP Multi Tool Stripper, Cutter and Crimper, 8-Inch (2078309)",4.6,Pri,"So far I've only used it to strip the coating from solid 22awg hook-up wire. It has made stripping wire effortless. The construction is, as expected from Vise-Grip, absolutely solid... I was surprised by how hefty this feels in the hand! I was able to use the plier portion to easily twist a few hook-up wires together. I was able to cut through wire easily using the built-in wire cutter. Overall a very solid tool.",13.49,5.0,A35YEABW3T8OP4,"January 15, 2016",Does what it's supposed to and does it well.,Yes,,,70
"Audio Technica AT-LP60 Fully Automatic Stereo Turntable System, Silver",4.4,Pri," Length:: 0:52 Mins<br/><br/></span> I really wanted to get into the world of vinyl, but I'm also broke thanks to outrageous, high-interest student loan debt. My compromise was to purchase an affordable, well-rated turntable. I did a bit of research and this turntable seemed to pop up everywhere I looked. Of course the high-end, Porsche-driving, scotch-sipping, self-proclaimed ""audiophiles"" (no offense) scoffed at this every chance they got because it didn't cost $3000+ like their turntable did. But you know what? It works, and, personally, I think it looks really nice. Its minimalistic design makes it very easy to set up and it came with the adapters I needed to hook it up directly to my <a href=""http://www.amazon.com/gp/product/B0027VT6V4"">Cyber Acoustics Powered Speakers, (CA-3602a)</a>. I didn't have to buy any additional amplifiers or receivers. I got it hooked up in less than 5 minutes and threw on a <a href=""http://www.amazon.com/gp/product/B0041TM5OU"">Kind of Blue (180g Vinyl)</a> that I had received as a gift from my sister. And it sounded, to me, phenomenal. I have extremely sensitive hearing and I can pick up on the subtle scratches that it makes, and I love it. Music from a vinyl record just sounds so...warm. Anyways, it is fully automatic, so once you hit the start button it'll go until the end of that side of the record then the arm will automatically return and the turntable will stop spinning. This is nice because I can throw on a record before bed and fall asleep while it plays.<br/><br/>Now, here's why it only got 4 stars:<br/>I returned the first one because the platter had a terrible wobble to it. I could visually see the stylus moving up and down, almost violently. At first I thought maybe my record was warped, but it was happening with all of them. It wasn't affecting the sound at all, but I was afraid of what it would do to my vinyls. I quickly received a replacement... and it has the same problem (although not as bad)! Like I said, it's not affecting the sound quality at all, but it just seems like poor quality control, even at the low price point of this turntable. I still very much enjoy listening to it daily, and I do still recommend it to anyone getting into the hobby that can't afford a super expensive turntable.<br/><br/>(The video I posted does have sound, but keep it mind it was recorded using my phone)",98.00,4.0,A35YEABW3T8OP4,"January 15, 2016",Great for starters...,Yes,3,2,69
"Kurgo Tru-Fit Smart Dog Harness, Extra-Large, Black",4.3,Pri,"This is the only harness I've purchased for my 85lb rescue black lab that hasn't been chewed apart in a week. The only issue I have with it is that it's really hard to keep centered on him, no matter how much I adjust it. It always leans to one side or the other, especially when there's a leash attached. I constantly have to stop and re-adjust it and try to center it. I can't comment on the seat-belt strap thing that comes with it because I lost that within a few days, but it's a nice concept.",22.27,4.0,A35YEABW3T8OP4,"January 15, 2016",He has yet to chew it apart.,Yes,3,2,68
Aoyue 486 Benchtop Solder Smoke Absorber,3.9,Pri,"Does not work nearly as well as I had hoped it would. I live in an apartment and have all my hobby electronics stuff in one of the bedrooms. I also live in the Midwest, which means I'm unable to open my windows from November through April because it's too cold outside... and from June to September because it's too hot outside. I was hoping this absorber would, at the very least, keep solder fumes away from my face. It does not. I keep it less than 5 inches away from where I'm doing the soldering and I still end up with a lung full of nasty fumes. I had high hopes for this thing because it sounds like it would really move some air, but my computer fans move more air than this thing. I think I'm just going to purchase another Hamilton Beach air purifier and keep it at my workstation.<br/><br/>Also, the entire thing is plastic except for the little cage that holds the charcoal pads in place.",35.99,2.0,A35YEABW3T8OP4,"January 15, 2016",Not worth it.,Yes,3,2,67
"Woods 0151 18/2 SPT-2 Clamp Lamp Light w/ 8.5-Inch Reflector, 150-Watt, 6-Foot Cord",4,Pri,"I use this behind my TV to throw a white light against the wall and help cut down on eyestrain. It works great for that. The outside edges were a bit bent when it arrived, but it doesn't affect what I'm using it for. The clamp on it is strong, in fact it's too strong for me to clip it anywhere on the TV so I just have it sitting on the TV stand.",12.50,4.0,A35YEABW3T8OP4,"January 5, 2016",Decent little reflector.,Yes,3,2,66
Company of Animals Nina Ottosson Dog Brick Interactive Game,4.3,Pri,"Finally, a toy that my rescued black lab doesn't get bored with after the first 5 minutes. He LOVES this thing, mainly because he knows it means food, but still. And I like it because it forces him to slow down when eating, and keeps him stimulated by making him work for his food. Although, the first times, he did start chewing on the white plastic bones after he was all done with his food.",31.12,5.0,A35YEABW3T8OP4,"January 5, 2016",Helps him slow down when eating.,Yes,1,1,65
"EZ-DUZ-IT 3028 Deluxe Can Opener with Grips, Black",4.4,Pri,"My dad will insist that generic items are just as good as their brand name counterparts... maybe the real lesson he is trying to teach me is that he doesn't know everything, because I can tell you for certain that this brand name can opener blows away anything you'll find at W*l-Mart. All my adult life I was under the impression that, perhaps, the can opener as we know it is just a bad design. Turns out I was just buying awful can openers. I couldn't complain too much (or so I thought) because I was only paying like $1.99... however I was paying this every few months because the teeth on the gears, or, more importantly, the cutting disk would wear out/rust.<br/><br/>Seriously, this thing slices open can tops like a hot American-made knife through butter. I have been recommending it to everyone I know.",8.43,5.0,A35YEABW3T8OP4,"January 5, 2016",Never realized what I was missing out on.,Yes,1,1,64
"Ohio Wholesale Vintage Bath Advertising Wall Art, from our Americana Collection, from our Americana Collection",4.5,Pri,"I was very surprised by the high quality of this sign given the fairly low price that I paid for it. The whole thing is made of wood! I have it hanging in my bathroom, above the toilet, using two large 3M Command Strips. It's pretty light in weight so the Command strips haven't had any issues holding it place. No issues with the sign being in a high humidity area like my bathroom, either.",16.50,5.0,A35YEABW3T8OP4,"November 15, 2015",Surprisingly good quality.,Yes,1,1,63
"Anker Quick Charge 2.0 18W USB Turbo USB Wall Charger for Samsung Galaxy S6 / S6 Edge / Edge+, Note 5, Note 4 / Edge, Nexus 6, HTC M9, Xperia Z3 / Z2 and More (Black)",4.8,Pri,"This is, by far, the best charger I have ever purchased. My HTC One M8 goes from 0 to 80% in ... well I don't know the exact time but goodness is it so much faster than any other charger that I've had (and I've had A LOT). The only thing that could make it better would be if it had two ports, but I didn't purchase the one with two ports so I can't fault the product.<br/><br/>I also use it to charge my Kindle HDX quicker than the 5W Amazon charger that I have.",16.50,5.0,A35YEABW3T8OP4,"November 15, 2015",So quick!,Yes,1,1,62
