,,,,,,,,Hypothesis Extraction,,Variable Annotation (Variable should be filled in according to their order in the hypothesis) ,,,,,,,Variable Grouping,,,Variable Relationship,,,,,,,,
Journal Source,Source ID,Year,Notes,Extracted by:,Audited by:,Hypotheses done by:,Hypotheses audited by:,Number,Text,Variable1,Variable2,Variable3,Variable4,Variable5,Variable6,Variable7,VariableID,Variable Name,Variable Instance,Type 0=Direct 1=Moderation 2=Mediation,Independent,Mediator/Moderator,Dependent,Supported,P-Value,Relationship,Notes,
MISQ:,75,,,n/a,Lauren,Victoria,,H1,"The influence of performance expectancy on behavioral intention will be moderated by gender and age, such that the effect will be stronger for men and particularly for younger men.",performance expectancy,behavioral intention,gender,age,men,younger,men,103,Performance expectancy,performance expectancy,Moderator,103,49179,110,TRUE,,Has effect,,
,75,,,,,,,,,,,,,,,,110,Behavioral intention to use the system,behavioral intention,Moderator,103,49180,110,TRUE,,Has effect,,
,75,,,,,,,,,,,,,,,,49179,Gender,gender,,,,,,,,,
,75,,,,,,,,,,,,,,,,49180,Age ,age,,,,,,,,,
,75,,,,,,,,,,,,,,,,49179,Gender,men,,,,,,,,,
,75,,,,,,,,,,,,,,,,49180,Age ,younger,,,,,,,,,
,75,,,,,,,,,,,,,,,,49179,Gender,men,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,H2,"The influence of effort expectancy on behavioral intention will be moderated by gender, age, and experience, such that the effect will be stronger for women, particularly younger women, and particularly at early stages of experience.",effort expectancy,behavioral intention,gender,age,experience,women,younger,104,Effort expectancy,effort expectancy,Moderator,104,49179,110,TRUE,0.05,Has effect,,
