Independent,Relationship ID,P-Value,Relationship,Dependent,Type,Supported,Hypothesis ID,Mediator/Moderator,Source ID
103,1,,Has effect,110,Moderator,True,75-1,49179,75
103,2,,Has effect,110,Moderator,True,75-1,49180,75
104,3,0.05,Has effect,110,Moderator,True,75-2,49179,75
104,4,0.05,Has effect,110,Moderator,True,75-2,49180,75
104,5,0.05,Has effect,110,Moderator,True,75-2,49181,75
106,6,0.05,Has effect,110,Moderator,True,75-3,49179,75
106,7,0.05,Has effect,110,Moderator,True,75-3,49180,75
106,8,0.05,Has effect,110,Moderator,True,75-3,49185,75
106,9,0.05,Has effect,110,Moderator,True,75-3,49181,75
107,10,0.05,Has no effect,110,Regular,True,75-4a,,75
107,11,0.05,Has effect,49188,Moderator,True,75-4b,49180,75
107,12,0.05,Has effect,49188,Moderator,True,75-4b,49181,75
108,13,0.05,Has no effect,110,Regular,True,75-5a,,75
109,14,0.05,Has no effect,110,Regular,True,75-5b,,75
105,15,0.05,Has no effect,110,Regular,True,75-5c,,75
110,16,0.05,Positive,49188,Regular,True,75-6,,75
118,17,0.001,Positive,117,1,1,79-1,121,79
119,18,0.01,Positive,117,1,1,79-2a,121,79
119,19,NULL,Positive,118,1,0,79-2b,121,79
120,20,0.05,Positive,117,1,1,79-3,121,79
118,21,0.001,Positive,117,1,1,79-4,125,79
118,22,0.001,Positive,117,1,1,79-4,121,79
119,23,0.01,Positive,117,1,1,79-5a,121,79
119,24,0.01,Positive,117,1,1,79-5a,125,79
119,25,NULL,Positive,118,1,0,79-5b,121,79
119,26,NULL,Positive,118,1,0,79-5b,125,79
120,27,0.01,No effect,117,1,1,79-6,121,79
120,28,0.01,No effect,117,1,1,79-6,125,79
136,29,0.001,Positive,139,Regular,True,81-1,,81
135,30,0.001,Positive,139,Regular,True,81-2,,81
135,31,,Positive,136,Regular,False,81-3,,81
130,32,0.01,Positive,135,Moderating,True,81-4,140,81
131,33,0.01,Positive,135,Moderating,True,81-4,140,81
132,34,0.01,Positive,135,Moderating,True,81-4,140,81
133,35,0.01,Positive,135,Moderating,True,81-4,140,81
134,36,0.01,Positive,135,Moderating,True,81-4,140,81
130,37,0.001,Positive,136,Moderating,True,81-5,140,81
131,38,0.001,Positive,136,Moderating,True,81-5,140,81
132,39,0.001,Positive,136,Moderating,True,81-5,140,81
133,40,0.001,Positive,136,Moderating,True,81-5,140,81
134,41,0.001,Positive,136,Moderating,True,81-5,140,81
138,42,0.001,Positive,130,Regular,True,81-6,,81
138,43,0.001,Positive,131,Regular,True,81-6,,81
138,44,0.001,Positive,132,Regular,True,81-6,,81
138,45,0.001,Positive,133,Regular,True,81-6,,81
138,46,0.001,Positive,134,Regular,True,81-6,,81
137,47,0.01,Positive,130,Regular,True,81-7,,81
137,48,0.01,Positive,131,Regular,True,81-7,,81
137,49,0.01,Positive,132,Regular,True,81-7,,81
137,50,0.01,Positive,133,Regular,True,81-7,,81
137,51,0.01,Positive,134,Regular,True,81-7,,81
162,52,0.001,Positive,169,0,1,82-1,NULL,82
162,53,0.001,Positive,170,0,1,82-2,NULL,82
162,54,0.001,Positive,171,0,1,82-3,NULL,82
162,55,0.001,Negative,172,0,1,82-4,NULL,82
162,56,0.001,Positive,173,0,1,82-5,NULL,82
169,57,0.001,Positive,171,0,1,82-6,NULL,82
170,58,NULL,Positive,171,0,0,82-7,NULL,82
169,59,0.001,Positive,173,0,1,82-8,NULL,82
170,60,0.05,Positive,173,0,1,82-9,NULL,82
171,61,0.001,Positive,173,0,1,82-0,NULL,82
172,62,NULL,Negative,173,0,0,82-1,NULL,82
154,63,0.05,Positive,158,1,1,83-1,51879,83
148,64,NULL,Positive,154,1,0,83-2,51879,83
151,65,NULL,Positive,154,1,0,83-2,51879,83
153,66,NULL,Positive,154,1,0,83-2,51879,83
149,67,NULL,Positive,154,1,0,83-2,51879,83
150,68,NULL,Positive,154,1,0,83-2,51879,83
152,69,NULL,Positive,154,1,0,83-2,51879,83
147,70,NULL,Positive,154,1,0,83-2,51879,83
156,71,0.05,Positive,158,1,1,83-3,51879,83
45923,72,0.05,Positive,160,0,1,84-1,NULL,84
52096,73,0.05,Positive,160,0,1,84-1,NULL,84
52096,74,NULL,No effect,159,0,0,84-2,NULL,84
45923,75,NULL,No effect,159,0,0,84-2,NULL,84
52096,76,0.05,Positive,161,0,1,84-3,NULL,84
45923,77,0.05,Positive,161,0,1,84-3,NULL,84
160,78,0.05,Positive,161,1,1,84-4,45923,84
160,79,0.05,Positive,161,1,1,84-4,52096,84
160,80,0.05,No effect,159,1,1,84-5,52096,84
160,81,0.05,No effect,159,1,1,84-5,45923,84
159,82,0.05,No effect,161,1,1,84-6,45923,84
159,83,0.05,No effect,161,1,1,84-6,52096,84
160,84,0.05,Positive,161,1,1,84-7,52096,84
160,85,0.05,Positive,161,1,1,84-7,45923,84
272,86,0.01,Positive,273,0,1,124-1,NULL,124
271,87,0.01,Positive,273,0,1,124-2,NULL,124
289,88,0.01,Positive,287,0,1,126-1,NULL,126
288,89,0.01,Positive,287,0,1,126-2,NULL,126
288,90,0.01,Positive,289,0,1,126-3,NULL,126
290,91,0.01,Positive,287,0,1,126-4,NULL,126
290,92,0.01,Positive,289,0,1,126-5,NULL,126
