SourceId,HypothesisId,Annotation,Text
75,75-1,"[u'performance expectancy', u'behavioral intention', u'gender', u'age', u'men', u'younger', u'men']","The influence of performance expectancy on behavioral intention will be moderated by gender and age, such that the effect will be stronger for men and particularly for younger men."
75,75-2,"[u'effort expectancy', u'behavioral intention', u'gender', u'age', u'experience', u'women', u'younger', u'women', u'experience']","The influence of effort expectancy on behavioral intention will be moderated by gender, age, and experience, such that the effect will be stronger for women, particularly younger women, and particularly at early stages of experience."
75,75-3,"[u'social influence', u'behavioral intention ', u'gender', u'age', u'voluntariness', u'experience', u'women', u'older', u'women', u'mandatory settings', u'experience']","The influence of social influence on behavioral intention will be moderated by gender, age, voluntariness, and experience, such that the effect will be stronger for women, particularly older women, particularly in mandatory settings in the early stages of experience."
75,75-4a,"[u'Facilitating conditions', u'behavioral intention', u'facilitating conditions ', u'usage', u'age', u'experience', u'older', u'experience']",Facilitating conditions will not have a significant influence on behavioral intention.
75,75-4b,"[u'facilitating conditions ', u'usage', u'age', u'experience', u'older', u'experience']","The influence of facilitating conditions on usage will be moderated by age and experience, such that the effect will be stronger for older workers, particularly with increasing experience."
75,75-5a,"[u'Computer self-efficacy', u'behavioral intention', u'Computer anxiety', u'behavioral intention', u'Attitude toward using technology', u'behavioral intention']",Computer self-efficacy will not have a significant influence on behavioral intention.
75,75-5b,"[u'Computer anxiety', u'behavioral intention', u'Attitude toward using technology', u'behavioral intention']",Compute anxiety will not have a significant influence on behavioral intention.
75,75-5c,"[u'Attitude toward using technology', u'behavioral intention', u'Behavioral intention ', u'usage']",Attitude toward using technology will not have a significant influence on behavioral intention.
75,75-6,"[u'Behavioral intention ', u'usage', u'Perceived usefulness', u'behavioral intention', u'men', u'women']",Behavioral intention will have a significant positive influence on usage.
79,79-1,"[u'Perceived usefulness', u'behavioral intention', u'men', u'women', u'Perceived ease of use', u'behavioral intention', u'women', u'men']",Perceived usefulness will influence behavioral intention to use a system more strongly for men than it will influence women.
