Independent,P-Value,Relationship,DepPos,Dependent,Hypothesis ID,Supported,Mediator/Moderator,IndPos,Relationship ID,MidPos,Type,Source ID
103,,Effect,"(-300, -250)",110,75-1,1,49179,"(-300, -250)",1,"(-200, -18)",Moderator,75
103,,Effect,"(-300, -250)",110,75-1,1,49180,"(-300, -250)",2,"(-200, 25)",Moderator,75
104,.05,Effect,"(-300, -250)",110,75-2,1,49179,"(-300, -84)",3,"(-200, -18)",Moderator,75
104,.05,Effect,"(-300, -250)",110,75-2,1,49180,"(-300, -84)",4,"(-200, 25)",Moderator,75
104,.05,Effect,"(-300, -250)",110,75-2,1,49181,"(-300, -84)",5,"(-200, -350)",Moderator,75
106,.05,Effect,"(-300, -250)",110,75-3,1,49179,"(-300, 0)",6,"(-200, -18)",Moderator,75
106,.05,Effect,"(-300, -250)",110,75-3,1,49180,"(-300, 0)",7,"(-200, 25)",Moderator,75
106,.05,Effect,"(-300, -250)",110,75-3,1,49185,"(-300, 0)",8,"(-200, -225)",Moderator,75
106,.05,Effect,"(-300, -250)",110,75-3,1,49181,"(-300, 0)",9,"(-200, -350)",Moderator,75
107,.05,,"(-300, -250)",110,75-4a,1,,"(-300, -150)",10,,Regular,75
107,.05,Effect,"(300, -250)",49188,75-4b,1,49180,"(-300, -150)",11,"(-200, 25)",Moderator,75
107,.05,Effect,"(300, -250)",49188,75-4b,1,49181,"(-300, -150)",12,"(-200, -350)",Moderator,75
108,.05,,"(-300, -250)",110,75-5a,1,,"(-300, -50)",13,,Regular,75
109,.05,,"(-300, -250)",110,75-5b,1,,"(-300, 50)",14,,Regular,75
105,.05,,"(-300, -250)",110,75-5c,1,,"(-300, 150)",15,,Regular,75
110,.05,Positive Effect,"(300, -250)",49188,75-6,1,,"(-300, -250)",16,,Regular,75
118,.001,Positive Effect,"(300, -150)",117,79-1,1,121,"(300, 125)",17,"(200, -350)",Mediator,79
119,.01,Positive Effect,"(300, -150)",117,79-2a,1,121,"(-300, 125)",18,"(200, -350)",Mediator,79
119,,Positive Effect,"(300, 125)",118,79-2b,1,121,"(-300, 125)",19,"(200, -350)",Mediator,79
120,.05,Positive Effect,"(300, -150)",117,79-3,1,121,"(-300, -150)",20,"(200, -350)",Mediator,79
118,.001,Positive Effect,"(300, -150)",117,79-4,1,125,"(300, 125)",21,"(200, -250)",Mediator,79
118,.001,Positive Effect,"(300, -150)",117,79-4,1,121,"(300, 125)",22,"(200, -350)",Mediator,79
119,.01,Positive Effect,"(300, -150)",117,79-5a,1,121,"(-300, 125)",23,"(200, -350)",Mediator,79
119,.01,Positive Effect,"(300, -150)",117,79-5a,1,125,"(-300, 125)",24,"(200, -250)",Mediator,79
119,,Positive Effect,"(300, 125)",118,79-5b,1,121,"(-300, 125)",25,"(200, -350)",Mediator,79
119,,Positive Effect,"(300, 125)",118,79-5b,1,125,"(-300, 125)",26,"(200, -250)",Mediator,79
120,.01,No Effect,"(300, -150)",117,79-6,1,121,"(-300, -150)",27,"(200, -350)",Mediator,79
120,.01,No Effect,"(300, -150)",117,79-6,1,125,"(-300, -150)",28,"(200, -250)",Mediator,79
136,.001,Positive Effect,"(300, -250)",139,81-1,1,,"(300, -50)",29,,Regular,81
135,.001,Positive Effect,"(300, -250)",139,81-2,1,,"(300, -125)",30,,Regular,81
135,,Positive Effect,"(300, -50)",136,81-3,1,,"(300, -125)",31,,Regular,81
130,.01,Positive Effect,"(300, -125)",135,81-4,1,140,"(300, -1)",32,"(-200, 25)",Moderator,81
131,.01,Positive Effect,"(300, -125)",135,81-4,1,140,"(300, 82)",33,"(-200, 25)",Moderator,81
132,.01,Positive Effect,"(300, -125)",135,81-4,1,140,"(300, 165)",34,"(-200, 25)",Moderator,81
133,.01,Positive Effect,"(300, -125)",135,81-4,1,140,"(300, -250)",35,"(-200, 25)",Moderator,81
134,.01,Positive Effect,"(300, -125)",135,81-4,1,140,"(300, -179)",36,"(-200, 25)",Moderator,81
130,.001,Positive Effect,"(300, -50)",136,81-5,1,140,"(300, -1)",37,"(-200, 25)",Moderator,81
131,.001,Positive Effect,"(300, -50)",136,81-5,1,140,"(300, 82)",38,"(-200, 25)",Moderator,81
132,.001,Positive Effect,"(300, -50)",136,81-5,1,140,"(300, 165)",39,"(-200, 25)",Moderator,81
133,.001,Positive Effect,"(300, -50)",136,81-5,1,140,"(300, -250)",40,"(-200, 25)",Moderator,81
134,.001,Positive Effect,"(300, -50)",136,81-5,1,140,"(300, -179)",41,"(-200, 25)",Moderator,81
138,.001,Positive Effect,"(300, -1)",130,81-6,1,,"(-300, -84)",42,,Regular,81
138,.001,Positive Effect,"(300, 82)",131,81-6,1,,"(-300, -84)",43,,Regular,81
138,.001,Positive Effect,"(300, 165)",132,81-6,1,,"(-300, -84)",44,,Regular,81
138,.001,Positive Effect,"(300, -250)",133,81-6,1,,"(-300, -84)",45,,Regular,81
138,.001,Positive Effect,"(300, -179)",134,81-6,1,,"(-300, -84)",46,,Regular,81
137,.01,Positive Effect,"(300, -1)",130,81-7,1,,"(-300, -179)",47,,Regular,81
137,.01,Positive Effect,"(300, 82)",131,81-7,1,,"(-300, -179)",48,,Regular,81
137,.01,Positive Effect,"(300, 165)",132,81-7,1,,"(-300, -179)",49,,Regular,81
137,.01,Positive Effect,"(300, -250)",133,81-7,1,,"(-300, -179)",50,,Regular,81
137,.01,Positive Effect,"(300, -179)",134,81-7,1,,"(-300, -179)",51,,Regular,81
162,.001,Positive Effect,"(-300, -125)",169,82-1,1,,"(-300, -84)",52,,Regular,82
162,.001,Positive Effect,"(-300, 0)",170,82-2,1,,"(-300, -84)",53,,Regular,82
162,.001,Positive Effect,"(-300, 125)",171,82-3,1,,"(-300, -84)",54,,Regular,82
162,.001,Negative Effect,"(-300, -250)",172,82-4,1,,"(-300, -84)",55,,Regular,82
162,.001,Positive Effect,"(300, -250)",173,82-5,1,,"(-300, -84)",56,,Regular,82
169,.001,Positive Effect,"(-300, 125)",171,82-6,1,,"(-300, -125)",57,,Regular,82
170,,Positive Effect,"(-300, 125)",171,82-7,1,,"(-300, 0)",58,,Regular,82
169,.001,Positive Effect,"(300, -250)",173,82-8,1,,"(-300, -125)",59,,Regular,82
170,.05,Positive Effect,"(300, -250)",173,82-9,1,,"(-300, 0)",60,,Regular,82
171,.001,Positive Effect,"(300, -250)",173,82-0,1,,"(-300, 125)",61,,Regular,82
172,,Negative Effect,"(300, -250)",173,82-1,1,,"(-300, -250)",62,,Regular,82
154,.05,Positive Effect,"(300, 0)",158,83-1,1,51879,"(300, -125)",63,"(200, -100)",Mediator,83
148,,Positive Effect,"(300, -125)",154,83-2,1,51879,"(-300, -250)",64,"(200, -100)",Mediator,83
151,,Positive Effect,"(300, -125)",154,83-2,1,51879,"(-300, 0)",65,"(200, -100)",Mediator,83
153,,Positive Effect,"(300, -125)",154,83-2,1,51879,"(-300, -250)",66,"(200, -100)",Mediator,83
149,,Positive Effect,"(300, -125)",154,83-2,1,51879,"(-300, -84)",67,"(200, -100)",Mediator,83
